Rank,Nickname,Kills,Deaths,Wins,Losses,Total,ELO,Tier
1,gukbab2,2635,1598,31,17,48,1992,Platinum 2
2,mason1772mm,1923,1026,20,13,33,1847,Platinum 3
3,Monday_0907,1749,1054,22,14,36,1835,Platinum 3
4,Axaeny,2298,1346,27,23,50,1828,Platinum 3
5,LYCORIS_Takina,1312,982,18,11,29,1751,Gold 1
6,jupertvjuper,1515,1420,19,16,35,1717,Gold 1
7,jmp6542,1680,1217,18,20,38,1687,Gold 2
8,box_0927,725,435,10,5,15,1674,Gold 2
9,Archyaki,943,599,10,9,19,1662,Gold 2
10,sy5254,2349,2082,27,32,59,1661,Gold 2
11,bond0822,177,142,4,1,5,1593,Gold 3
12,haheaq,351,318,5,3,8,1585,Gold 3
13,NV_Sidereal,425,288,6,6,12,1585,Gold 3
14,qazx3eg_iazwfjmiagj,359,293,4,3,7,1570,Gold 3
15,amejingfrog,48,56,2,0,2,1553,Gold 3
16,sijrvs234,77,141,3,1,4,1548,Gold 3
17,NSR_Scott,127,113,2,1,3,1537,Gold 3
18,amyee2,47,29,1,0,1,1531,Gold 3
19,Rlasx_o,624,752,9,12,21,1530,Gold 3
20,Kapippalist,357,336,7,7,14,1530,Gold 3
21,KD_Izuna,43,42,1,0,1,1529,Gold 3
22,0z139,30,27,1,0,1,1528,Gold 3
23,dot1com,272,243,3,3,6,1526,Gold 3
24,chunk9_2,20,27,1,0,1,1526,Gold 3
25,Delicious_Onion,28,37,1,0,1,1526,Gold 3
26,kevincyo_0808,79,143,3,2,5,1524,Gold 3
27,deadant_leo,36,69,2,1,3,1524,Gold 3
28,kesnnd,21,44,1,0,1,1524,Gold 3
29,Breadu_gold,247,345,4,4,8,1523,Gold 3
30,river091211070822,206,200,3,3,6,1519,Gold 3
31,dudu33881,143,85,2,2,4,1518,Gold 3
32,Y_ee111,200,339,4,4,8,1514,Gold 3
33,nasoilee5,96,212,4,3,7,1513,Gold 3
34,Outpostk,153,163,2,2,4,1512,Gold 3
35,TowerOfHell_3201,145,155,2,2,4,1511,Gold 3
36,Bluearchive_Arisu,390,494,8,9,17,1508,Gold 3
37,tony1_021,58,51,1,1,2,1505,Gold 3
38,NV_Hyun,237,210,3,4,7,1504,Gold 3
39,Re_9LEAVER,51,65,1,1,2,1503,Gold 3
40,suturben,55,79,1,1,2,1502,Gold 3
41,andlecraft,37,61,1,1,2,1500,Gold 3
42,sugolem,28,54,1,1,2,1500,Gold 3
43,Sans_Muter,42,82,1,1,2,1499,Silver 1
44,minjae65412,136,150,2,3,5,1485,Silver 1
45,hanjo101,93,106,1,2,3,1482,Silver 1
46,Vir_Spica,94,105,1,2,3,1482,Silver 1
47,ytuuews,57,91,1,2,3,1477,Silver 1
48,GLC_noname,20,29,0,1,1,1476,Silver 1
49,West_Six,25,47,0,1,1,1475,Silver 1
50,remiaos,42,71,1,2,3,1475,Silver 1
51,ww12_qwer,4,26,0,1,1,1473,Silver 1
52,ahsb37,56,112,1,2,3,1473,Silver 1
53,river0912110708,138,141,1,3,4,1462,Silver 1
54,S1_7sConfLit,183,202,3,5,8,1462,Silver 1
55,NoC_l,438,534,5,8,13,1456,Silver 1
56,pailoder,51,68,0,2,2,1452,Silver 1
57,ulchan,32,49,0,2,2,1451,Silver 1
58,PizzaO_U,123,121,0,3,3,1436,Silver 1
59,qqpqqpqqqq,96,140,0,3,3,1428,Silver 1
60,Adu_na,467,550,4,9,13,1415,Silver 1
61,player_operlation,322,401,3,8,11,1399,Silver 2
62,Goyu92,218,282,1,6,7,1394,Silver 2
63,TOM245111,185,369,2,7,9,1390,Silver 2
64,padosol,387,443,3,10,13,1370,Silver 2
65,pp0403,105,188,0,6,6,1349,Silver 2
